,source,Airport One,"City, Country One",dest,Airport Two,"City, Country Two",Actual,Prediction,Average_Degree
3239,161,Istanbul International Airport,"Istanbul, TR",1406,Haugesund Airport,"Karmøy, NO",0,0.8,161.0
3834,51,Paris Charles de Gaulle,"Paris, FR",553,Samos Airport,"Samos Island, GR",0,0.9,154.5
2848,51,Paris Charles de Gaulle,"Paris, FR",3159,Lourdes de Blanc Sablon Airport,"Lourdes-De-Blanc-Sablon, CA",0,0.8,148.5
2661,5,Boston Logan,"Boston, US",255,Antalya International Airport,"Antalya, TR",0,1.0,122.5
3767,50,London Gatwick,"London, UK",609,Lehigh Valley International Airport,"Allentown, US",0,0.8,121.5
4314,101,Suvarnabhumi Bangkok International Airport,"Bangkok, TH",3445,Beijing Daxing International Airport,"Beijing, CN",0,0.9,107.5
3879,12,New York John F. Kennedy International Airport,"New York, US",359,Central Illinois Regional Airport at Bloomington-Normal,"Bloomington/Normal, US",0,1.0,107.0
3394,76,Zurich-Kloten Airport,"Zurich, CH",818,Borg El Arab International Airport,"Alexandria, EG",0,0.9,102.5
3148,178,Charlotte Douglas International Airport,"Charlotte, US",447,Capital City Airport,"Lansing, US",0,1.0,95.0
3083,76,Zurich-Kloten Airport,"Zurich, CH",1430,Parma Airport,"Parma, IT",0,1.0,92.5
2993,250,Guangzhou Baiyun International Airport,"Guangzhou, CN",2808,Ranong Airport,"Ranong, TH",0,0.8,88.0
3527,15,Orlando International Airport,"Orlando, US",378,Yeager Airport,"Charleston, US",0,1.0,85.5
4435,141,Malta International Airport,"Luqa, MT",789,Pula Airport,"Pula, HR",0,1.0,77.5
3897,315,Jinnah International Airport,"Karachi, PK",903,Xi'an Xianyang International Airport,"Xianyang, CN",0,0.9,77.5
3836,286,Queen Alia International Airport,"Amman, JO",507,Ioannis Kapodistrias International Airport,"Kerkyra Island, GR",0,1.0,71.0
3567,220,"St. Thomas, Cyril E. King Airport","Charlotte Amalie, VI",784,Brussels South Charleroi Airport,"Brussels, BE",0,0.8,69.0
3600,167,Hamburg Airport,"Hamburg, DE",1311,Turku Airport,"Turku, FI",0,1.0,67.5
3877,140,Warsaw Chopin Airport,"Warsaw, PL",1192,Al Najaf International Airport,"Najaf, IQ",0,0.8,64.0
2585,673,Kunming Wujiaba International Airport,"Kunming, CN",3291,Shikezi Huayuan Airport,"Shikezi, CN",0,1.0,59.5
